text,sentiment
"some , like the inmate philosopher , 451 , see the evil of their ways and repent , doing the best to keep their humanity . 
",neut
"the nightmare isnt over , william birkin ordered the hive to be reopened , and in doing so contaminated all of raccoon city , a city of the daed , with alice stuck right in the middle . 
",neut
"ted can't turn the ladies heads like he used to - none of the scams work . 
",neut
"'murder by numbers' is a psychological suspense-thriller that tells the story of a tenacious homicide detective , cassie mayweather ( sandra bullock ) and her new partner sam kennedy ( ben chaplin ) who become pitted against two malevolently brilliant young men ( ryan gosling and michael pitt ) in an ingenious battle of wits as they try to solve a murder case . 
",neut
"the story of ray , a personal injury attorney facing a moral and spiritual crisis . 
",neut
"mexican crimelord beno gildemontes has stolen classified intelligence data . 
",neut
"into this mix is thrown jed , jackson's hunky cousin , which leads jackson to seriously contemplate the technicalities of incest . 
",neut
"having been born , raised , and schooled in the garden state , they are now , in their early 30's , starting to realize that something is lacking in their lives . 
",neut
"but when his feelings for the decidedly unavailable ricki begin to grow , and he actually becomes concerned for brian , tough guy gigli begins to transform into an actual human being . . . which 
",neut
"one year later , in los angeles , the surviving team members create a smart and devious plan to steal back the gold and get their revenge on the traitor . 
",neut
"the union , however , faces its own internecine battles as factions inside the organization , one led by james p . hoffa ( son of the infamous jimmy hoffa ) , vie for power . 
",neut
"when she fails to find the "" perfect man "" that will make her happy , she decides to construct him herself , using parts from different people . 
",neut
"now , all the mutants need to fight together against an enemy in common : general william stryker , who is planning to destroy them all . 
",neut
"deep in the northwest , there is a lone ranch tucked away so purposefully , the only way to find it is by not looking . 
",neut
"this definitely delivers a remarkable mixture of explosive drama with wickedly ironical humor as you follow this eclectic story surrounding this tide-dyed , free spirited couple's showdown with a mysterious faberge' egg and a seedy , well-woven cast of criminals that will both trill and amuse . 
",neut
"obsessed by the world of pool , johnny ( mars callahan ) could be one of the best . 
",neut
"ami , having dropped out of college with twelve credits left , works at a flower shop , biding her time till she can get eric to understand what she knows deep down what she wants to do - be a mother . 
",neut
"a young great gatsbyish hip hopper named summer g falls for a middle to upper class sister while in college . 
",neut
"will raja be able to convince the doctor and munnabhai about his love ? 
",neut
"shaken , shae goes to check on her young daughter , sophie . 
",neut
"vince finally arrives at the cemetery the following day . 
",neut
"as the police investigate and suspect is arrested , we discover that joe knows more than he is letting on . 
",neut
"the catholic church and the irish courts decide the doyle children put into church-run orphanages . 
",neut
"a bored secretary in the holiday firm funtime inc spends her time looking after the plants around her . 
",neut
"when miami dentist ted brooks ( cuba gooding , jr . ) learns that his birth mother has passed away and that he was named in her will , he travels to alaska to claim his inheritance . 
",neut
"seeking a microscopic camera that could be incorporated into his artificial eye so he could secretly film whatever he sees , the filmmaker explores the futuristic technology that could make this possible , while revisiting chapters of his own past . 
",neut
"hear commentary by some of the top stars of no-holds-barred including rorion gracie , mark kerr , keith hackney and bas rutten . 
",neut
"at the height of his tv career , chuck barris was recruited by the cia and trained to become a covert operative . 
",neut
"in some cases love means actual love , in other cases it means sex , and in one case it means losing one's virginity . 
",neut
"pacino , connery , de nero , schwarzenegger - together on film - for the first time . . . 
",neut
"the driver races to locate a kidnapped victim locked in the trunk of an abandoned car somewhere on the water's edge . 
",neut
"fate deals young orphan matt murdock a strange hand when he is doused with hazardous waste . 
",neut
"as asked in the first movie , what sort of people name their son gay m . focker ? 
",neut
"forty-one years after they played their first note on a motown record and three decades since they were all together , the funk brothers reunited back in detroit to play their music and tell their unforgettable story , with the help of archival footage , still photos , narration , interviews , re-creation scenes , 20 motown master tracks , and twelve new live performances of motown classics with the brothers backing up contemporary performers . 
",neut
"it's all about love is the story of two lovers and their attempts to save their relationship in a near-future world on the brink of cosmic collapse . 
",neut
"along the way , he encounters some strange characters , one of which is a cow trained in the martial arts . 
",neut
"nha fala ( my voice ) , a musical comedy , is the story of vita , a young african woman who must never sing . 
",neut
"a dutch girl is getting sick of always losing her boyfriends , so when she loses her newest "" gain "" she decides to follow max ( her friend ) to new york where he's starting a carreer as an actor . 
",neut
"especially one of them , holo tokyo boy , was designed to be her lover . 
",neut
"a documentary of the true story of two american adventurers who follow mysterious clues to find the true mt . 
",neut
"living hermit-like and existing on a strict alcohol diet , mudd's world has collapsed . 
",neut
"older brothers and a brother-in-law are in his way . 
",neut
"after a drastic confrontation with the 'normal' outside world that results in fighting and panic , the group breaks up . 
",neut
"a documentary seven years in the making about women in the film business and how they balance , children , love lives and career--or how they don't . 
",neut
"johnathan cross , a lover of extreme sports , is recruited by alexi petrovich to star in his sportive invention , rollerball . 
",neut
"lessons abound for the students and teacher culminating in a reunion 25 years later . 
",neut
"the story of ned kelly , who formed the notorious kelly gang with his brother dan and two other men . 
",neut
"spanning 18 years in an iranian women's prison , this follows two women : the new prison warden , a tough as nails devout muslim who has served in the army on the iraqi front , and a young midwife , mitra , who is serving her sentence for killing her mother's abusive husband . 
",neut
"his attempt at becoming a lefty leads to an interesting turn of events which suggest that he may be at the start of a never-ending cycle . 
",neut
"the killer's clues are a perversion of biblical punishments for sins : stoning , burning , decapitation . 
",neut
"just before easter 2001 , a semi-trailer loaded with 40 , 000 bottles of beer crashed into the tweed river on the out skirts of the northern new south wales town of murwillumbah ( known as "" murbah "" to the locals ) . 
",neut
"rodney boland is a professional hit man who "" services "" politicians and their wealthy backers . 
",neut
"they nevertherless feel responsible to protect the flag until monday's ceremony . 
",neut
"after many years of sleeping in his coffin , the vampire lestat awakens only to find that the world has changed and he wants to be a part of it . 
",neut
"he has come to earth to spearhead an invasion . 
",neut
"denied political-prisoner-of-war status , he initiates a hunger strike . 
",neut
"finnur , a 9 year old boy , finds his way to j&#243 ; hanns world and they develop a special friendship . 
",neut
"shortly thereafter , kilo is involved in a drug deal with a wired frat boy that goes bad and he is imprisoned . 
",neut
"geordie ( thom fitzgerald ) , a visiting canadian pornographer , bogdan ( mihai calota ) , a reluctant city dog-catcher , and nathalie ( alberta watson ) , a lonely diplomat's wife - each risks losing everything as they become embroiled in the struggles of bucharest's abandoned children , gypsies , dogs and beggars . 
",neut
"given their jaded and precocious sophistication , is there anything the girls can look forward to ? 
",neut
"he also tells him that they are not gems . 
",neut
"to confirm his worst fears , thomas sprints outside and discovers that it is not just a terrible dream - his vision may never be the same . 
",neut
"their brother was killed by a drug overdose a few years earlier and the gang is determined to keep drugs off their block . 
",neut
"she entranced the founder of the museum of art ( masp ) where the fashion parade was being held , and her career was hence launched . 
",neut
"convinced that peter is tracking her , she turns to them for help . 
",neut
"till the end of time , they will stay that way . 
",neut
"what he doesn't know yet is that these traits are part of the disguisey family secret legacy . 
",neut
"joanna , a young wife and mother , moves from manhattan to the upper-class suburb of stepford , connecticut . 
",neut
"she arrives with every intent of selling it all off and going back to her busy career , but in going through her grandmother's belongings , she discovers much about her family's past which ultimately makes her re-evaluate her life and values . 
",neut
"then she buys a bar of chocolate from the neighborhood store . . . 
",neut
"at the same time other changes in sumo are being prompted by its growing popularity in the west , where its adherents are lobbying for sumo's inclusion in the olympic games even as other promoters are arranging amateur sumo tournaments in venues like las vegas casinos - tournaments that not surprisingly bear little resemblance to the sport's japanese forebear . 
",neut
"now the job isn't the payoff , it's about payback . 
",neut
"her strong relationship with her father , howard , is evident as she shares the hopelessness of her marriage . 
",neut
"in cinemania , hollywood's biggest fans become the true stars . 
",neut
"his father , aglanar , was happy at his birth that he would have a strong and honorable son to carry on the traditions of the valley . 
",neut
"life is not easy when you are called aksel and you're a danish kid who loves meatballs . 
",neut
"when carolyn's assigned to coach pumpkin she's terrified at first , but soon sees in him something she's never seen before : a gentle humanity and honest clarity that touches her soul . 
",neut
"as his clients become more frantic and demanding , ray begins to unravel , questioning the morality of his profession . 
",neut
"chicago's newspapers love the nitty-gritty and velma is at the top of the headlines . 
",neut
"but just when james starts to question his role and his cat-and-mouse relationship with his mentor , burke taps him for a special assignment to root out a mole . 
",neut
"the last ones , in denial of the inevitable , have waited too long in the security of their own homes . 
",neut
"marco and melanie , a young married couple , are living a life of passion , with chaotic situations , and all the little frustrations of daily life . 
",neut
"seducing ben is only beginning ; she becomes his biggest "" fan "" and most unexpected nightmare , as her obsessions quickly spiral out of control into betrayal , madness and , ultimately , murder . 
",neut
"for ten years , tobias has worked in a clock factory and in the relentless sound of ticking , he sees life go by without much expectation . 
",neut
"yanks tanks is a first look at the phenomenon of classic american cars in cuba . 
",neut
"on the road to lake tahoe , a stressed out young executive meets a woman who forever changes his life . 
",neut
"welcoming the challenge , roger guides nick through the city's wild nightlife for an all-night crash course , only to realize that he--the adult--still has something to learn about what women , and men , really want . 
",neut
"bear has never gotten over the separation from his wife and daughter after having been convicted for armed robbery and homicide and sent to prison . 
",neut
"in the end , each must deal with the mysterious and , perhaps , scandalous reason their affair suddenly ended . 
",neut
"set in 1989 , during the historical week in which the berlin wall came tumbling down . 
",neut
"known in english at festivals as "" weightwatch , "" this title captures the essence of the film . 
",neut
"anna strikes a deal with vikrant that he'll kill guru and acquire the prize money offered by him . 
",neut
"along the way he picks up a pastor who desires to learn the deeper things of god . 
",neut
"terry , a spoilt brat is just too lazy a student . 
",neut
"a few months later , both parties realize their mistake and find out that 'getting back what you had' is not so easy . 
",neut
"nevertheless , carlos puts his artistic aspirations on hold to take over the store and care for his father . 
",neut
"one of the theives betrays his companions and swipes the gold for himself . 
",neut
"so , shaun goes to great lengths with a little help from his girlfriend ashley and his drugged-out loser brother lance to get into stanford any way they see fit . 
",neut
"andrew is infatuated with sannah and fantazises about her but believes there's no chance she will like him if she gets to know him , so he decides it's better they never meet for real . . . 
",neut
"her dysfunctional family , consisting only of lilo and her sister nani , is about to be ripped apart by social worker cobra bubbles . 
",neut
"'bloody magic' is the story of zack , an eleven year old school boy , who's family is visited by three debt collectors . 
",neut
"his dreams seemingly become shattered as caroline is married and has a daughter . 
",neut
"this sets off an irrevocable chain of events that lead to aravasu losing his love , paravasu desecrating the great sacrifice , the creation of a demon and the deaths of yavakri and raibhya . 
",neut
"as time races on 'superbob' must rescue his son dante , who has been kidnapped by big yard . 
",neut
"it is a story about love , passion , addiction , brillance and the ignorance of greed . 
",neut
"rio danisworo ( marcellius siahaan ) is a rigid "" all about business "" young profesional . 
",neut
"she gives frode a small monster puppet , which frode throws in the closet in his bedroom . 
",neut
"at first this encounter with his past is pleasant until julie's ex-boyfriend ben shows up . 
",neut
"one day , his own name arrives in the "" perpetrator "" chute , and the precogs predict that he will kill a man he never knew in less than 36 hours . 
",neut
"on the very day lizzy finds out she's pregnant , she also finds herself the unwitting subject of a twisted television expos&#233 ; perpetrated by the new world standard of unethical journalism : hardcore action news . 
",neut
"davey stone , a 33-year old party animal , finds himself in trouble with the law after his wild ways go too far . 
",neut
"when valento lets his temper get the better of him , he needs a fall guy , and everyone's favorite dupe rises to the top . 
",neut
"the taxi driver is a serial killer who picks up innocent women but not all of his victims are as innocent as he thinks . 
",neut
"anthony is a successful computer engineer in silicon valley where he seems to have the perfect life : a beautiful home secluded in the hills , stock options worth millions , and a lovely wife , victoria . 
",neut
"loonies is a touching comedy about five psychiatric patients who are forced to exchange their familiar surroundings for an old-fashioned , impersonal institution . 
",neut
"in a world where loyalties are easily abandoned and allegiances bought , six perfect strangers come together to pull off the perfect crime . 
",neut
"matters are complicated still further when beckinsale finds herself falling in love with oldman's character . 
",neut
"johnny knoxville and his crazy friends appear on the big screen for the very first time in jackass : the movie . 
",neut
"and then a body turns up on cape cod . . . 
",neut
"while treating a homicide detective for smoking , hypnotherapist michael strother has a telepathic vision of a young girl floating beneath the surface of a stream . 
",neut
"due to unfortunate circumstances he is forced to flee his former brothers in arms . 
",neut
"he meets up with the country bears , a long-since broken-up band , a parody of bands like the eagles . 
",neut
"eva dandridge is a very uptight young woman who constantly meddles in the affairs of her sisters and their husbands . 
",neut
"although she came back to the house in order to sell it , things begin to take a different direction : the house itself , the furniture and other equipment in it seem to become alive for anna , recalling images of her past , her beloved parents and her friend max , who once gave her shelter from the raging policemen when she took part as a photo journalist in a political demonstration in berlin . 
",neut
"a long-distant fight wages until her mother's friends ( and members of the yaya sisterhood ) kidnap siddalee and take her "" home "" to the south , where they hope to explain her mother's history and to patch up the rift between mother and daughter . 
",neut
"he retires from his dangerous job after his best pal kamandag was killed by a mysterious kidnapping syndicate leader . 
",neut
"after pulling off an amazing gold bullion heist from a heavily guarded palazzo in venice , italy , charlie and his gang -- inside man steve ( norton ) , computer genius lyle ( green ) , wheelman handsome rob ( statham ) , explosives expert left-ear ( mos def ) and veteran safecracker john bridger ( sutherland ) - can't believe when one of them turns out to be a double-crosser . 
",neut
"a take on the classic tale 'the boy who cried wolf' , 'big fat liar' is about a 14-year-old boy named jason shephard ( frankie muniz ) who lies for the fun of it . 
",neut
"paramount to her world is gene , a wealthy disturbed businessman who has slowly become her benefactor over the years . 
",neut
"the young man looks for comfort in his father , but he's to occupied with winning the eurovision song contest . 
",neut
"the theme of the film simultaneously addresses the similarities between the two factions of law and crime while revealing the similarities between the two brothers . 
",neut
"as his agent pushes him to be bigger , and valerie , the bakery owner , adds a surprise of her own , stan begins to strain under the pressures of mass production while simultaneously trying to create hand painted masterpieces . . . 
",neut
"he has no idea how he has journeyed the 400 miles in less than two hours . 
",neut
"his half-sister's threats to pay back the enormous debts with the mafia has put a lot of pressure at his marriage . 
",neut
"freddy krueger ( robert englund ) is desparate to kill , but he can't since the parents of elm street have been doping their kids up with dream suppressants . 
",neut
"hunted by the police and the various mafia groups , they work their way up to the source of this incredible plot to find out who is manipulating them . 
",neut
"it's her millionaire boss , george wade ( hugh grant ) . 
",neut
"he fails to win eve's heart and is consequently dejected . 
",neut
"young is a tribute to the nobility of those men under fire , their common acts of uncommon valor , and their loyalty to and love for one another . 
",neut
"a newscaster for the channel 7 eyewitness news complains about how god has only made his life a total waste . 
",neut
"nothing like dreaming is a film about a modern-day shaman and his young disciple . 
",neut
"a story of faith , family relations , and finding yourself . 
",neut
"killers , revolutionaries , big business , kids , family , god . 
",neut
"maggie's daughter is kidnapped , forcing father and estranged daughter to work together to get her back . 
",neut
"besides being performers , they are also political activists - in aids awareness , anti-gay violence , the sex workers movement and the struggle against the extreme right and racism . 
",neut
"the painter visually depicts the life of a lonely immigrant woman who seeks companionship with the window repairman . 
",neut
"partnered with the sassy , stunning sistah girl , our hero must first undergo the ultimate attitude adjustment and trade in his 'fro and platforms for tennis sweaters and penny loafers . 
",neut
"yet this highly traditional world is facing profound changes due to the postwar influx of foreign images and ideas in japanese culture . 
",neut
"larry goldberg is the owner of a second-hand bookstore in amsterdam . 
",neut
"what resulted is a stirring and emotional reflection of that day and his experience . 
",neut
" "" on the afternoon of july 1 , 1981 , los angeles police responded to a distress call at 8763 wonderland avenue and soon discovered a grisly quadruple homicide , later compared to the gruesome slaughter at the tate household at the hands of the charles manson family 10 years earlier . 
",neut
"mickey kilpatrick is the sweet-natured superintendent of their building , whose loopy dreams of becoming a professional bowler are met with only derision and confusion by his father sean . 
",neut
"bettien decided to cooperate with the police and because of her testimonies , many precious arrests were made . 
",neut
"just when it seems martha's influence may be having a favorable effect on greg's attitude , his old ways win out . 
",neut
"it is a journey that will take both carol and charlie to the edge of reality and force carol to face up to her terrifying destiny . 
",neut
"through the stories of four different families , daddy &#38 ; papa delves into some of the particular challenges facing gay men who decide to become dads . 
",neut
"a film about a modern-day shaman and his young disciple in rural vermont . 
",neut
"clara has gone wild after her mother runs off with another man . 
",neut
"werner , a sniper and ex-legionnaire , presently a mercenary , who has seen it all , from angola to sarajevo . 
",neut
"the artist lives alone in a foreboding old house in the country , a place of solitude , free from distractions . 
",neut
"he also tries to cope with the recent death of his 6 year old son jacob , whose presence can still be felt in the house . 
",neut
"en un ca&#243 ; tico principio del siglo xxi , oleadas de cr&#237 ; menes saturan los informativos , y decenas de sectas tratan de captar la fe de la cada vez m&#225 ; s esc&#233 ; ptica poblaci&#243 ; n . 
",neut
"in unraveling this mystery , everyone involved is pushed to the limits of human understanding . 
",neut
"unlike most reunion stories that climax with a clich&#233 ; happy ending , daughter from danang is a real-life drama . 
",neut
"and that's the trick-it's a gay cruise-liner for gay men to make out . 
",neut
"heavily pregnant , and wanting to terminate her pregnancy , she's on the run from the future parents , searching for sophie's old flame , ken . 
",neut
" "" sumo east and west "" is a feature documentary about americans in the ancient japanese sport of sumo wrestling . 
",neut
"shaun brumder is a local surfer kid from orange county who dreams of going to stanford to become a writer and to get away from his disfunctional family household . 
",neut
"when the us government "" recruits "" him to go on a mission , he's not exactly thrilled . 
",neut
"skyler shaye plays the object of affection of carbonell's teenage son . 
",neut
"these camps were surrounded by barb wire and guard towers . 
",neut
"imprisoned and depressed pete's letter gives eagle rekindled spirit . 
",neut
"welcome to peoplemovin . com , a leader in america's transient workforce , more commonly known as temporary employment . 
",neut
"he tells her to keep fighting for her goals but still to compromise . 
",neut
"while lying in the middle of those flowers he devotes to his yearning for love . 
",neut
"this modern-day , fantasy cinderella features fairies , ogres and elves . . . as 
",neut
"everything has taken a turn for the worse and kilo can't seem to stop it . 
",neut
"one whom he could never love and one whom he could never stop loving . . . 
",neut
"after realizing what had happened and unsure what else to do he began capturing the events unfolding around him . 
",neut
"plans go awry when the kingpin offers $100 million to anyone who can free him . 
",neut
"her loving parents feel helpless as they watch their daughter suffer . 
",neut
"anna changes her mind : when some rich , ignorant american couple wondering about if they should buy the house asks for the swimming pool ( while the mediterranean is half a mile away ) , she simply doubles the charge , and finally puts the "" for sale "" plate into the garbage can . 
",neut
"it may only be the third date , but tony knows it's time to pop the question and make the beautiful , shy katrina his wife . 
",neut
"the story follows mirabelle , a disenchanted salesgirl and aspiring artist who sells gloves and accessories at neiman marcus . 
",neut
"he carefully plans every day of his life , leaving nothing to chance . 
",neut
"the second trip took place in february 2002 in the city of herat now freed from the taliban and in the hunger stricken camp of maslakh , one of the largest in the world . 
",neut
"they swore to have their unborn babies get married when they grew up . 
",neut
"at his request , she puts him to death to end his suffering and is subsequently charged with murder . 
",neut
"together they build the spectacular fire organ that inspires awe and wonder . 
",neut
"bobby and susan have found in each other what most only dream of finding , their soul mate . 
",neut
"lando , after knowing the situation , attempted to kill roman . 
",neut
"one day , butcher lee ( karen allen ) , inez's trusted friend and an amateur mystic of sorts , reveals a vision that inez's one true love is close by . 
",neut
"a handsome and talented college student , david morales , is devastated when a bum knee causes him to lose his scholarship to the university of san diego . 
",neut
"through intimate conversations with top japanese artists , scholars and devotees from all cultures and walks of life , we reveal the multi-faceted appeal of the anime world . 
",neut
